Delivery Date;Arrival Time;Customer Name;Palette Euro NEW;Caisses vertes;VID-T;VID-S;Vidanges champignons;Vidange F;FRIGO BOX;Palette Truval;Palette banane;Palette Plastique;Palette Pool;;;Remarques;Remarques Reprise;On Time?;Driver Name;Reprise marchandise ?;Reprise vidanges ?;Num unique Liv
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Curcio Teo;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;TERTHOLEN;;;;;;;;;;;;;;;;No;Curcio Teo;;;TERTHOLEN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;BOUVRY BRUXELLES;;;;;;;;;;;;;;;;No;Curcio Teo;;;BOUVRYBXL01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;NAIA MAGASIN;;;;;;;;;;;;;;;;No;Curcio Teo;;;NAIAMAGASI01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;VANDER ZIJPEN;;;;;;;;;;;;;;;;No;Curcio Teo;;;VANDERZIJP01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;VANDER ZIJPEN NV;;;;;;;;;;;;;;;;No;Curcio Teo;;;VANDERZYP01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;MBELGO FRUITS SPRL;;;;;;;;;;;;;;;;No;Curcio Teo;;;MBELGO01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;CEI;;;;;;;;;;;;;;;;No;Curcio Teo;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;SA DELFOOD NV;;;;;;;;;;;;;;;;No;Curcio Teo;;;SADELFOODN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Curcio Teo;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:18 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Bette Laurent;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:18 AM;AU FRUITIER;;;;;;;;;;;;;;;;No;Bette Laurent;No;No;AUFRUITIER01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:07 AM;INTERMARCHE SOIGNIES;;;;;;;;;;;;;;;;No;Bette Laurent;No;No;INTERSOIGN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;6:43 AM;MERCAT;;;;;;;;;;;;;;;;No;Bette Laurent;No;No;MERCAT01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:08 AM;PAIN D'ANTAN;2;;;;;;;1;;;;;;;;No;Bette Laurent;No;Yes;PAINDANTAN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:09 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Bette Laurent;;;x
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;9:09 AM;Cora Chatelineau (Agrisert);;;;;;;;;;;;;;;;No;Bette Laurent;No;No;x
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:00 PM;INTER HAMME-MILLE BY M DIRECT;;;;;;;;;;;;;;;;No;Bette Laurent;No;No;CARREFHAMM01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:00 PM;CARREFOUR MARKET HOTTON;;;;;;;;;;;;;;;;No;Bette Laurent;No;No;CARREFHOTT01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;5:00 PM;JR Transport;;;;;;;;;;;;;;;;Yes;Bette Laurent;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:47 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Boyer Jean-Roch;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:47 AM;JS FRUITS & LEGUMES;;;;;;;;;;;;;;;;No;Boyer Jean-Roch;No;No;JSFRUITS01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:40 AM;Colruyt Group Services (Agrisert);;;;;;;;;;;;;;;;No;Boyer Jean-Roch;No;No;1
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:41 AM;Carrefour KDC Sint-Katelijn-Waver (Agrisert);;;;;;;;;;;;;;;;Yes;Boyer Jean-Roch;No;No;709
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;11:42 AM;FRUITHANDEL ROELANDT BVBA;;;;;;;;;;;;;;;;No;Boyer Jean-Roch;No;No;FRUITHANDR01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;12:35 PM;HEMPE MALINES;;;;;;;;;;;;;;;;No;Boyer Jean-Roch;No;No;HEMPEMALIN01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;BELORTA;;;;;;;;;;;;;;;;No;Boyer Jean-Roch;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;;JR Transport;;;;;;;;;;;;;;;;Yes;Boyer Jean-Roch;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;2:49 AM;JR Transport;;;;;;;;;;;;;;;;Yes;Magain Elodie;;;
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:08 AM;INTERMARCHE ANDERLUES;;;;;;;;;;;;;;;72 raviers fraises du village;No;Magain Elodie;Yes;No;INTERMARC101062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:26 AM;INTERMARCHE ANDERLUES 2 CAPANDERE SA;;;;;;;;;;;;;;;;No;Magain Elodie;No;No;INTERAND201062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;3:55 AM;INTERMARCHE MORLANWELZ;;;;;;;;;;;;;;;;No;Magain Elodie;No;No;INTERMORLA01062023
;;;;;;;;;;;;;;;;;;;;;;
01/06/2023;4:48 AM;Colruyt Central F1 DASS (Agrisert);;;;;;;;;;;;;;;;Yes;Magain Elodie;No;No;1
